,created_at,content,media,source_link,comments,likes,shares,reactions
213,1617545706,Are you a great social marketer? 😉,,https://www.facebook.com/177463958820/posts/10158359749183821/,1,15,8,15
214,1617563703,Instagram will reward you for posting Reels 🏆,,https://www.facebook.com/177463958820/posts/10158360407543821/,10,13,2,13
215,1617650108,What social networks are your customers using?,,https://www.facebook.com/177463958820/posts/10158362849103821/,2,13,8,13
216,1617887708,Don't do this on social.,,https://www.facebook.com/177463958820/posts/10158369335733821/,1,34,14,34
217,1617822905,Get started with Youtube 👏,,https://www.facebook.com/177463958820/posts/10158367654088821/,2,20,10,20
218,1617715502,Should you be on Clubhouse? Here's what you need to know.,,https://www.facebook.com/177463958820/posts/10158364435743821/,0,10,6,10
219,1618168503,This is how you drive sales on social media 🤑,,https://www.facebook.com/177463958820/posts/10158378164038821/,0,18,10,18
220,1618082103,We are sharing our secrets 🤫,,https://www.facebook.com/177463958820/posts/10158375352453821/,3,11,7,11
221,1618146903,Start posting at the best time.,,https://www.facebook.com/177463958820/posts/10158377242843821/,0,10,6,10
222,1618406107,These stats are your new best friend.,,https://www.facebook.com/177463958820/posts/10158384694223821/,0,7,7,8
223,1618319704,Learn from the best in the game.,,https://www.facebook.com/177463958820/posts/10158382464088821/,0,15,4,15
224,1618427705,"If you're still waiting for an invite to Clubhouse, don't fret. Twitter has been building its own audio product, Twitter Spaces.",,https://www.facebook.com/177463958820/posts/10158385243268821/,0,8,4,8
225,1618060505,"""Hey Google, how many people use voice search for online searches?"" Find more stats like this in our #Digital2021 report: http://ow.ly/7lFs50EjYii","MEDIA_PHOTO - https://scontent-lga3-1.xx.fbcdn.net/v/t1.6435-9/s720x720/170928880_10158374504683821_7908723570492166554_n.png?_nc_cat=109&ccb=1-3&_nc_sid=da1649&_nc_eui2=AeG3pr-6NRtZtkzE8_Fomcq4wGbgLiv1A5rAZuAuK_UDmkWHD9DB-YTyVham4nZBIko&_nc_ohc=voyD6N-nQbQAX9CVsru&_nc_ht=scontent-lga3-1.xx&tp=30&oh=8960b4cdf617d0031c023bc4a6686fc4&oe=6095667E
",https://www.facebook.com/hootsuite/photos/a.181964483820/10158374504673821/?type=3,1,9,4,9
226,1617909306,"Is TikTok actually the best place to reach Gen Z? Is online shopping as rampant as it was in 2020? Test your assumptions with this comprehensive report on the state of digital, ecommerce, and social media. #Digital2021 http://ow.ly/Txti50EdDSX","MEDIA_PHOTO - https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-9/s720x720/170753612_10158370001223821_845403181294498210_n.png?_nc_cat=109&ccb=1-3&_nc_sid=da1649&_nc_ohc=GEMY_Aj_qUYAX8M2eGq&_nc_ht=scontent-iad3-1.xx&tp=30&oh=cac8199b4734eb02a118893f9c1befe0&oe=609702A4
",https://www.facebook.com/hootsuite/photos/a.181964483820/10158370001218821/?type=3,8,12,3,12
227,1617736504,"Yes, you can post directly to Instagram using Hootsuite 😍","MEDIA_VIDEO - http://l.facebook.com/l.php?u=http%3A%2F%2Fow.ly%2FJsgB50EhcRE&h=AT0dByoV6IsLEG1VcMcKgOxV-poFL05p7h-vJ3SvBuh91coPhPG9ZsnmUKI6xSTXbOuiPybHzKwhT2bSBn0Q-kxIDoicMuUpyEiUepefLP1aOpEW94nwKCjB4kC2RA&s=1
",https://www.facebook.com/177463958820/posts/10158365181278821/,5,13,1,14
228,1617628508,What are the most important social media trends in 2021 for brands and businesses? Find out here 👀 #SocialTrends2021 http://ow.ly/wOGG50EdEcZ,"MEDIA_PHOTO - https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-9/s720x720/169808159_10158362121108821_4763165002920178862_n.png?_nc_cat=111&ccb=1-3&_nc_sid=da1649&_nc_ohc=8zo2OLUft7kAX_q80V3&_nc_ht=scontent-iad3-2.xx&tp=30&oh=2d9388c35ae1a9db077234af429a182e&oe=6090D20E
",https://www.facebook.com/hootsuite/photos/a.181964483820/10158362121103821/?type=3,2,13,5,13
229,1617477302,"There's 1.3 million new users on social media every day. To put that into context, there are only 86,400 seconds in a day! That means there's 15 new users to social media EVERY SECOND. 🤯 Learn more in our #Digital2021 report: http://ow.ly/Txti50EdDSX","MEDIA_PHOTO - https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-9/168535551_10158357981338821_6038604236540033247_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=da1649&_nc_ohc=aliuWG1un7EAX9W8Z_C&_nc_ht=scontent-iad3-2.xx&oh=127895c1db18655c1628c693f4169db7&oe=608D49A7
",https://www.facebook.com/hootsuite/photos/a.181964483820/10158357981328821/?type=3,1,9,1,9
230,1617801306,"🛑 STOP banging your head against your desk *hoping* good social content will fall out.

🏁 START applying proven strategies for innovating on social.

💡 DISCOVER how in our Apr. 21 webinar: http://ow.ly/TzYd50Eib3H #SocialTrends2021","MEDIA_PHOTO - https://scontent-atl3-1.xx.fbcdn.net/v/t1.6435-9/p720x720/170152643_10158366834873821_3502089486950486775_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=da1649&_nc_ohc=-pYxLhxigKEAX_T6bc-&_nc_ht=scontent-atl3-1.xx&tp=6&oh=ea5786cd193c86f017f4a808194be07f&oe=60941371
",https://www.facebook.com/hootsuite/photos/a.181964483820/10158366834863821/?type=3,0,5,2,7
231,1617286512,The image sizes you need right now! http://ow.ly/p0sf50Dy6w7?,"MEDIA_PHOTO - https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-9/s720x720/167878826_10158352659713821_7757672565169416210_n.png?_nc_cat=111&ccb=1-3&_nc_sid=e007fa&_nc_ohc=aTVJkXKS6eAAX_EdCvX&_nc_ht=scontent-iad3-1.xx&tp=30&oh=d110f1d95d08fa6215481fd4aec9e437&oe=608BFC59
",https://www.facebook.com/hootsuite/photos/a.10157757293578821/10158352659708821/?type=3,1,14,3,14
232,1618233311,"Are you sick and tired of BANGING your head against your desk, just *hoping* that winning social media content will fall out? 

These experts can help. In our Apr. 21 webinar, they’ll share three proven strategies for innovating on social. (Your brain can thank us later.) #SocialTrends2021

http://ow.ly/NaeH50EibaS","MEDIA_PHOTO - https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-9/p720x720/172143612_10158380112808821_1796841949969803661_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=da1649&_nc_eui2=AeH4FakaHOewlRqIOGyg93gHJtm_nvLTsiwm2b-e8tOyLPU30XISPR0AlArkjlmZxA0&_nc_ohc=YMrVee2G5WUAX_L83K8&_nc_ht=scontent-iad3-1.xx&tp=6&oh=734b96c2fca0b65b352c96e9408b7aa3&oe=609ADFA9
",https://www.facebook.com/hootsuite/photos/a.181964483820/10158380112803821/?type=3,0,6,6,7
