,created_at,content,media,source_link,favorites,retweets,replies
477,1615502473,@LatelyAI @Nimble @Agorapulse @socialpilot_co @ManviAgarwal28 This is the closest we've come to hugging people in a long time. It's very nice. And we're honored to be part of the list. Great group of tools! 😊,,https://twitter.com/hootsuite/status/1370142795516764162,6,0,1
478,1615245570,We gathered these Facebook audience insights so you could focus your time on setting effective strategy. http://ow.ly/iVsJ50DTAcR,,https://twitter.com/hootsuite/status/1369065267943333891,17,9,0
479,1615823988,"@overmanjenny Hmm, that infographic we made doesn't seem to transfer over to Twitter very well. Rather ironic.",,https://twitter.com/hootsuite/status/1371491330074021890,0,0,1
480,1615918805,"Before you go live, this is what you need to know. http://ow.ly/DpuK50DWBy6",,https://twitter.com/hootsuite/status/1371889019114696710,22,11,0
481,1615916688,"Learn how to build trust, increase engagement, and drive return on investment by combining user-generated content with social marketing. http://ow.ly/FgSI50E0sMo https://twitter.com/hootsuite/status/1371880139890569222/photo/1","MEDIA_PHOTO - https://twitter.com/hootsuite/status/1371880139890569222/photo/1
",https://twitter.com/hootsuite/status/1371880139890569222,15,8,2
482,1615829289,"If you look closely at your mentions, trends start to appear that you can use to improve your business. http://ow.ly/Mbgf50DZmOQ",,https://twitter.com/hootsuite/status/1371513563324497922,19,8,0
483,1615582819,"Social Media Term of the Week.

""Filter"": The thing you remove when you're about to spill the tea on your in-laws on international television ️👏",,https://twitter.com/hootsuite/status/1370479793171542018,40,3,3
484,1615502144,"@Twitter But what else do you notice? Their tweet is in all lower case. The tweet is short, and relatively informal. They don't have a link in the tweet, and there's no additional media added too. All things to consider when coming up with your own tweets.",,https://twitter.com/hootsuite/status/1370141418841374720,18,2,0
485,1615589595,Instagram's most recent updates that you need to know about 👇 http://ow.ly/4SaL50DXLJW,,https://twitter.com/hootsuite/status/1370508211753717761,27,6,0
486,1615493527,Take advantage of the live feature to grow your account. http://ow.ly/wSIt50DWBsf,,https://twitter.com/hootsuite/status/1370105273017368576,16,4,0
487,1615832854,Are you sure you’re reaching the right people? Discover how to hit 3 valuable target audiences using the right social channels in our Mar. 24 webinar: http://ow.ly/4NfT50DZqNx #SocialTrends2021 https://twitter.com/hootsuite/status/1371528513799532546/photo/1,"MEDIA_PHOTO - https://twitter.com/hootsuite/status/1371528513799532546/photo/1
",https://twitter.com/hootsuite/status/1371528513799532546,27,10,2
488,1614964605,What is a tweet if not random thoughts persevering?,,https://twitter.com/hootsuite/status/1367886815135416320,53,12,3
489,1614868215,Our research suggests these are the best times to publish to your social channels. http://ow.ly/rfeQ50DPpyd,,https://twitter.com/hootsuite/status/1367482524931350532,27,16,1
490,1615570897,@NeoReach Had to be done 😅,,https://twitter.com/hootsuite/status/1370429786439483396,2,0,0
491,1615501783,"When in doubt, take a look at what @Twitter is doing (and not doing). 

They're engaging their audience here with a fun initiative, as an example. https://twitter.com/Twitter/status/1367513918235693065 https://twitter.com/Twitter/status/1367513918235693065",,https://twitter.com/hootsuite/status/1370139904487882756,18,6,1
492,1615936074,Join us for a #LinkedInLive discussion with @evaliveshere @rupadash @BAKroadwarrior on the inspiring all-women team behind the World Woman Hour campaign with 60 women x 60 stories x 60 minutes ✨ Save your spot: http://ow.ly/S3ZR50E0zJp #ShesMyHero https://twitter.com/hootsuite/status/1371961451590643712/photo/1,"MEDIA_PHOTO - https://twitter.com/hootsuite/status/1371961451590643712/photo/1
",https://twitter.com/hootsuite/status/1371961451590643712,2,5,0
493,1615578171,"Fridge-Worthy, Episode 8

When’s the last time you pulled a prank on your followers?

Congrats @OttawaHealth, you’ve won TWO Fridge-Worthy awards because you make social media managers feel better about themselves. And, because Bruce still has a job 🏆🏆 http://ow.ly/RVlX50DXCi2 https://twitter.com/hootsuite/status/1370460298486894596/photo/1","MEDIA_PHOTO - https://twitter.com/hootsuite/status/1370460298486894596/photo/1
",https://twitter.com/hootsuite/status/1370460298486894596,12,1,0
494,1615501555,"But it is a good idea to pay attention to trends in social media, so you understand what people are looking for when they sign into their social channels. This helps you create appropriate content that resonates over time.",,https://twitter.com/hootsuite/status/1370138948576677888,18,3,2
495,1615574589,"Things LinkedIn is: 
- A networking site
- An online resume 
- A great place to find jobs

Things LinkedIn is not:
- A dating site",,https://twitter.com/hootsuite/status/1370445272573153286,194,40,11
496,1614977208,"It can be hard to step offline when you work in social media. But it's important to set time for yourself. Log off, go for a walk, watch #WandaVision during a lunch break before it gets spoiled for you. It's called balance.",,https://twitter.com/hootsuite/status/1367939674568855562,67,15,2
497,1615979403,Get your followers' attention when you go live on Instagram 👀 http://ow.ly/AgjW50E0JcS,,https://twitter.com/hootsuite/status/1372143185149968385,18,8,0
498,1615331930,"We've all heard the spooky social media campfire story. Saying ""Link in Bio"" will hurt your performance. But is it true? We tested it to find out. http://ow.ly/Ktxc50DUFNW",,https://twitter.com/hootsuite/status/1369427489458634753,29,10,1
499,1615486362,"@MadalynSklar 1|2 One tip most people won't tell you: You can use lists to see people's tweets but not actually follow them so you can keep your follow/follower ratio where you want it. 

We don't care about that, but it's a trick that works for people that do care. #TwitterSmarter https://twitter.com/hootsuite/status/1370075221609299979/photo/1","MEDIA_ANIMATED_GIF - https://twitter.com/hootsuite/status/1370075221609299979/photo/1
",https://twitter.com/hootsuite/status/1370075221609299979,11,5,4
500,1614964731,We were curious so we decided to test it. Here's what we found 👇 http://ow.ly/HlDo30rzvPl,,https://twitter.com/hootsuite/status/1367887344116920324,13,4,4
501,1615573548,"@bevcoasters How we feel seeing you take the leap into every new meme 😂 (If anyone can do it though, we have faith that it's you) https://twitter.com/hootsuite/status/1370440906260758531/photo/1","MEDIA_ANIMATED_GIF - https://twitter.com/hootsuite/status/1370440906260758531/photo/1
",https://twitter.com/hootsuite/status/1370440906260758531,3,1,1
502,1615914649,"Stories have made their mark on most, if not all, of today’s leading social platforms. Facebook Stories is no exception. http://ow.ly/4H9O50E0qEn",,https://twitter.com/hootsuite/status/1371871589600522252,15,3,0
503,1615818004,"Social Media Managers, here's your weekly to do list:

1. Check and schedule your posts
2. Spend time listening to your audience
3. Ask a team member how they are
4. Take some time out for a hobby",,https://twitter.com/hootsuite/status/1371466231392448514,166,40,6
504,1615501531,"Social Marketing Tip for Small Businesses: Pay attention to trends

We’re not saying you should leap on every meme that goes viral. (Please don’t leap on every meme that goes viral.)",,https://twitter.com/hootsuite/status/1370138844352413707,118,31,5
505,1615583654,Learn more helpful social media terms like this one in our Glossary of Terms article here: http://ow.ly/Liu330rAsJD https://twitter.com/hootsuite/status/1370483292840017921/photo/1,"MEDIA_ANIMATED_GIF - https://twitter.com/hootsuite/status/1370483292840017921/photo/1
",https://twitter.com/hootsuite/status/1370483292840017921,24,6,1
506,1615475406,Start creating RFPs that pull in the right vendors to help you achieve your goals. http://ow.ly/f4tw50DVML6,,https://twitter.com/hootsuite/status/1370029269808734208,10,3,0
507,1615566003,Shoutout to @JohnMayer for teaching the people how to be good at Instagram. http://ow.ly/D6Sx50DWBCs,,https://twitter.com/hootsuite/status/1370409260870418433,17,0,0
508,1616087572,"@MadalynSklar 1|1 Monitoring your Twitter mentions can tell you:
- How customers feel about your brand
- Who to engage with
- Which users are growing your reach (your advocates)
- What potential problems people are having with your brand/product #TwitterSmarter https://twitter.com/hootsuite/status/1372596878844571651/photo/1","MEDIA_ANIMATED_GIF - https://twitter.com/hootsuite/status/1372596878844571651/photo/1
",https://twitter.com/hootsuite/status/1372596878844571651,7,1,1
509,1616091130,@abbyc_atauburn Thanks for sharing 😊,,https://twitter.com/hootsuite/status/1372611804304711687,0,0,0
510,1616087397,@biteable @MadalynSklar We JUST started posting to TikTok. We're big fans of their algorithm. It sends so many interesting videos to your home page. #TwitterSmarter,,https://twitter.com/hootsuite/status/1372596144665210883,3,0,1
511,1616087334,@hannah_jelliman Let us know what you think of it 😊,,https://twitter.com/hootsuite/status/1372595881900445704,0,0,1
512,1616607334,"Time to talk about reaching the target audience for B2C brands! @BeingBrayden leads this segment.

Spoilers: You'll want to invest in your Instagram page. #SocialTrends2021 https://twitter.com/hootsuite/status/1374776921800728580/photo/1","MEDIA_PHOTO - https://twitter.com/hootsuite/status/1374776921800728580/photo/1
",https://twitter.com/hootsuite/status/1374776921800728580,4,0,3
513,1616179494,@Padraig_McCann @Louisemcdsocial @Tweetinggoddess These sound right up our alley 👍 Thanks for sharing! #SocialMediaMarketing,,https://twitter.com/hootsuite/status/1372982430680952838,3,0,2
514,1616523801,@melenie Nope!  🙏,,https://twitter.com/hootsuite/status/1374426557641490442,2,0,1
515,1616605961,@mmthoe Thanks for taking the time to join in and learn from the session today 😊 #SocialTrends2021,,https://twitter.com/hootsuite/status/1374771160337018884,2,1,0
516,1616605931,"@AllisonatIPA Great to have you tuned in with us today, Allison! #SocialTrends2021",,https://twitter.com/hootsuite/status/1374771035476791298,0,0,0
517,1616179278,@rvbarner We're not familiar with that one. Will have to look it up!,,https://twitter.com/hootsuite/status/1372981524107264003,0,0,1
518,1616180204,"@Plantedkitchen Ah, apologies. Our customer support team @hootsuite_help is the account you want to connect with.",,https://twitter.com/hootsuite/status/1372985405134532609,0,0,0
519,1616179313,@iroida1 Is there any lesson from Sun Tzu that stands out in particular?,,https://twitter.com/hootsuite/status/1372981669536403461,0,0,1
520,1616525193,@Kseatz Nice work! Great to see you're working to continue your learning and grow your resume as well 😊,,https://twitter.com/hootsuite/status/1374432396641116168,1,0,0
521,1616178737,@TrishulVadi https://twitter.com/hootsuite/status/1372979255651471360/photo/1,"MEDIA_ANIMATED_GIF - https://twitter.com/hootsuite/status/1372979255651471360/photo/1
",https://twitter.com/hootsuite/status/1372979255651471360,1,0,0
522,1616692086,@WizardingRain We hear you. Social media manager problems. 😅,,https://twitter.com/hootsuite/status/1375132394647339009,1,0,1
